sno,sna,tot,dis,INDEX,Station,
386,錦州吉林路口,30,345.854459,O09,行天宮,2
387,吳興街260巷,32,778.7009443,R03,台北101/世貿,2
388,景華街128巷口,24,757.306536,G05,景美,2
389,福德國小,30,837.1716677,BL20,後山埤,2
390,稻香重三路口,34,499.5220306,R23,復興崗,2
391,景仁公園,30,498.2807117,G05,景美,2
392,南京東興路口,30,66.872509,G18,南京三民,2
393,內溝溪生態展示館,24,2139.987065,BR20,大湖公園,1
394,松德虎林街口,32,278.8027115,BL19,永春,2
395,安強公園,28,455.1654211,BL19,永春,2
396,新東街51巷口,28,1104.073664,G18,南京三民,1
397,劍潭海外青年活動中心,36,602.2062908,R15,劍潭,2
398,聯合醫院陽明院區,30,964.287622,R17,芝山,1
399,和平龍泉街口,34,644.7549332,G08,台電大樓,2
400,和平敦化路口,34,413.5816114,BR07,六張犁,2
401,南京新生路口,34,545.4321919,G15,松江南京,2
402,下灣公園,28,1433.845719,BR21,葫洲,1
403,捷運內湖站(1號出口),28,53.44911218,BR19,內湖,2
404,民族延平路口,30,638.0301757,O12,大橋頭,2
